Provinsi,Maret 2012,September 2012,Maret 2013,September 2013,Maret 2014,September 2014,Maret 2015,September 2015,Maret 2016,September 2016,Maret 2017,September 2017,Maret 2018,September 2018
INDONESIA,11.96,11.66,11.37,11.47,11.25,10.96,11.22,11.13,10.86,10.7,10.64,10.12,9.82,9.66
ACEH,19.46,18.58,17.6,17.72,18.05,16.98,17.08,17.11,16.73,16.43,16.89,15.92,15.97,15.68
SUMATERA UTARA,10.67,10.41,10.06,10.39,9.38,9.85,10.53,10.79,10.35,10.27,10.22,9.28,9.22,8.94
SUMATERA BARAT,8.19,8,8.14,7.56,7.41,6.89,7.31,6.71,7.09,7.14,6.87,6.75,6.65,6.55
RIAU,8.22,8.05,7.72,8.42,8.12,7.99,8.42,8.82,7.98,7.67,7.78,7.41,7.39,7.21
JAMBI,8.42,8.28,8.07,8.42,7.92,8.39,8.86,9.12,8.41,8.37,8.19,7.9,7.92,7.85
SUMATERA SELATAN,13.78,13.48,14.24,14.06,13.91,13.62,14.25,13.77,13.54,13.39,13.19,13.1,12.8,12.82
BENGKULU,17.7,17.51,18.34,17.75,17.48,17.09,17.88,17.16,17.32,17.03,16.45,15.59,15.43,15.41
LAMPUNG,16.18,15.65,14.86,14.39,14.28,14.21,14.35,13.53,14.29,13.86,13.69,13.04,13.14,13.01
KEP. BANGKA BELITUNG,5.53,5.37,5.21,5.25,5.36,4.97,5.4,4.83,5.22,5.04,5.2,5.3,5.25,4.77
KEP. RIAU,7.11,6.83,6.46,6.35,6.7,6.4,6.24,5.78,5.98,5.84,6.06,6.13,6.2,5.83
DKI JAKARTA,3.69,3.7,3.55,3.72,3.92,4.09,3.93,3.61,3.75,3.75,3.77,3.78,3.57,3.55
JAWA BARAT,10.09,9.89,9.52,9.61,9.44,9.18,9.53,9.57,8.95,8.77,8.71,7.83,7.45,7.25
JAWA TENGAH,15.34,14.98,14.56,14.44,14.46,13.58,13.58,13.32,13.27,13.19,13.01,12.23,11.32,11.19
DI YOGYAKARTA,16.05,15.88,15.43,15.03,15,14.55,14.91,13.16,13.34,13.1,13.02,12.36,12.13,11.81
JAWA TIMUR,13.4,13.08,12.55,12.73,12.42,12.28,12.34,12.28,12.05,11.85,11.77,11.2,10.98,10.85
BANTEN,5.85,5.71,5.74,5.89,5.35,5.51,5.9,5.75,5.42,5.36,5.45,5.59,5.24,5.25
BALI,4.18,3.95,3.95,4.49,4.53,4.76,4.74,5.25,4.25,4.15,4.25,4.14,4.01,3.91
NUSA TENGGARA BARAT,18.63,18.02,17.97,17.25,17.25,17.05,17.1,16.54,16.48,16.02,16.07,15.05,14.75,14.63
NUSA TENGGARA TIMUR,20.88,20.41,20.03,20.24,19.82,19.6,22.61,22.58,22.19,22.01,21.85,21.38,21.35,21.03
KALIMANTAN BARAT,8.17,7.96,8.24,8.74,8.54,8.07,8.03,8.44,7.87,8,7.88,7.86,7.77,7.37
KALIMANTAN TENGAH,6.51,6.19,5.93,6.23,6.03,6.07,5.94,5.91,5.66,5.36,5.37,5.26,5.17,5.1
KALIMANTAN SELATAN,5.06,5.01,4.77,4.76,4.68,4.81,4.99,4.72,4.85,4.52,4.73,4.7,4.54,4.65
KALIMANTAN TIMUR,6.68,6.38,6.06,6.38,6.42,6.31,6.23,6.1,6.11,6,6.19,6.08,6.03,6.06
KALIMANTAN UTARA,-,-,-,-,-,-,6.24,6.32,6.23,6.99,7.22,6.96,7.09,6.86
SULAWESI UTARA,8.18,7.64,7.88,8.5,8.75,8.26,8.65,8.98,8.34,8.2,8.1,7.9,7.8,7.59
SULAWESI TENGAH,15.4,14.94,14.67,14.32,13.93,13.61,14.66,14.07,14.45,14.09,14.14,14.22,14.01,13.69
SULAWESI SELATAN,10.11,9.82,9.54,10.32,10.28,9.54,9.39,10.12,9.4,9.24,9.38,9.48,9.06,8.87
SULAWESI TENGGARA,13.71,13.06,12.83,13.73,14.05,12.77,12.9,13.74,12.88,12.77,12.81,11.97,11.63,11.32
GORONTALO,17.33,17.22,17.51,18.01,17.44,17.41,18.32,18.16,17.72,17.63,17.65,17.14,16.81,15.83
SULAWESI BARAT,13.24,13.01,12.3,12.23,12.27,12.05,12.4,11.9,11.74,11.19,11.3,11.18,11.25,11.22
MALUKU,21.78,20.76,19.49,19.27,19.13,18.44,19.51,19.36,19.18,19.26,18.45,18.29,18.12,17.85
MALUKU UTARA,8.47,8.06,7.5,7.64,7.3,7.41,6.84,6.22,6.33,6.41,6.35,6.44,6.64,6.62
PAPUA BARAT,28.2,27.04,26.67,27.14,27.13,26.26,25.82,25.73,25.43,24.88,25.1,23.12,23.01,22.66
PAPUA,31.11,30.66,31.13,31.53,30.05,27.8,28.17,28.4,28.54,28.4,27.62,27.76,27.74,27.43
